filename,class
images/normal/normal_001.png,normal
images/normal/normal_002.png,normal
images/normal/normal_003.png,normal
images/normal/normal_004.png,normal
images/normal/normal_005.png,normal
images/normal/normal_006.png,normal
images/normal/normal_007.png,normal
images/normal/normal_008.png,normal
images/normal/normal_009.png,normal
images/normal/normal_010.png,normal
images/normal/normal_011.png,normal
images/normal/normal_012.png,normal
images/normal/normal_013.png,normal
images/normal/normal_014.png,normal
images/normal/normal_015.png,normal
images/normal/normal_016.png,normal
images/normal/normal_017.png,normal
images/normal/normal_018.png,normal
images/normal/normal_019.png,normal
images/normal/normal_020.png,normal
images/normal/normal_021.png,normal
images/normal/normal_022.png,normal
images/normal/normal_023.png,normal
images/normal/normal_024.png,normal
images/normal/normal_025.png,normal
images/normal/normal_026.png,normal
images/normal/normal_027.png,normal
images/normal/normal_028.png,normal
images/normal/normal_029.png,normal
images/normal/normal_030.png,normal
images/normal/normal_031.png,normal
images/normal/normal_032.png,normal
images/normal/normal_033.png,normal
images/normal/normal_034.png,normal
images/normal/normal_035.png,normal
images/normal/normal_036.png,normal
images/normal/normal_037.png,normal
images/normal/normal_038.png,normal
images/normal/normal_039.png,normal
images/normal/normal_040.png,normal
images/normal/normal_041.png,normal
images/normal/normal_042.png,normal
images/normal/normal_043.png,normal
images/normal/normal_044.png,normal
images/normal/normal_045.png,normal
images/normal/normal_046.png,normal
images/normal/normal_047.png,normal
images/normal/normal_048.png,normal
images/normal/normal_049.png,normal
images/normal/normal_050.png,normal
images/normal/normal_051.png,normal
images/normal/normal_052.png,normal
images/normal/normal_053.png,normal
images/normal/normal_054.png,normal
images/normal/normal_055.png,normal
images/normal/normal_056.png,normal
images/normal/normal_057.png,normal
images/normal/normal_058.png,normal
images/normal/normal_059.png,normal
images/normal/normal_060.png,normal
images/normal/normal_061.png,normal
images/normal/normal_062.png,normal
images/normal/normal_063.png,normal
images/normal/normal_064.png,normal
images/normal/normal_065.png,normal
images/normal/normal_066.png,normal
images/normal/normal_067.png,normal
images/normal/normal_068.png,normal
images/normal/normal_069.png,normal
images/normal/normal_070.png,normal
images/normal/normal_071.png,normal
images/normal/normal_072.png,normal
images/normal/normal_073.png,normal
images/normal/normal_074.png,normal
images/normal/normal_075.png,normal
images/normal/normal_076.png,normal
images/normal/normal_077.png,normal
images/normal/normal_078.png,normal
images/normal/normal_079.png,normal
